,headline,excerpt,share_text
271,amy schumer plays realistic video game frighteningly realistic experience,,
272,riddle one alive today ever answer still worth try,,
273,comic explains exactly discuss rape,A handy-dandy chart to tell you how to talk about a tricky subject. ,
274,ladies much fun epicenter disaster,It all makes sense now.,
275,would minimum wage kept years wish answer less shocking,,
276,met people made clip one top priorities next year,I'm signing up to do this. You?,They're moving and shaking the world. Want to help?
277,tries playing video game using female avatar brace smacked reality,,It's one of the best comedy sketches of 2014. I was laughing and cringing the whole way through.
278,thousands unreported lynchings classrooms year victims young,Stories that matter. Share them with your friends. ,
279,seeing good treatments doctor tried something crazy might work,Not all medicine comes in the form of drugs and surgery.,
280,kids days used hearing school announcement find alarming,I don’t remember having to deal with this in schools and I’m not even that old.,Folks who disagree about gun violence can avoid each other. Kids cannot avoid the violence.
281,patrick gave human connection see difference sign language class made,Patrick believed he would never converse. He was wrong.,Those smiles are contagious.
282,week class changed patrick life gained something take granted,Patrick believed he would never converse. He was wrong.,Those smiles are contagious.
283,alaskan village role model american cities,,
284,quarterback high school football team happened came home,,
285,spending time space feels chances,,
286,spending time space feels chances,,
287,sound like mlk learned school,"He talks openly and critically about genuine equality, racism, riots, poverty, and war.",This is so worth your attention.
288,video existed kid might working nasa instead upworthy right,Things that matter. Pass 'em on.,
289,guess country totally closed gender gap guess,,
290,kids say means nice person genius,They get real.,I just can't stop smiling.
291,sound like mlk learned school,I never knew any of this.,This is so worth your attention.
292,words easy hear poverty,,
293,made still matters change want,,
294,unfairly singled cops asked response pretty amazing,This is reality.,
295,bizarre human tendency drew us frightening story reveals much humanity,Humans. We're an odd species.,
296,guys challenged come gayest song ever result,Earworm alert:,
297,actress reveals hard make films women obsessed men,Stories that matter. Share them with your friends. ,
298,today attack paris probably come nowhere,,
299,way stuart scott smacked racist espn exec pure genius,So satisfying.,I love what he did here. Pure class.
300,bizarre human tendency drew us frightening story reveals much humanity,Humans. We're an odd species.,"In 1987, the world was captivated by one little girl's scary ordeal. Here's what was happening in a lot of people's brains at the time."
301,boy said ugly touch believed years say,It comes from within. ,It's time to redefine what it means to be beautiful. 
302,remarkable men around time still shake habit,,
303,remarkable men around time still shake habit,,
304,remarkable men around time still shake habit,,
305,remarkable men around time still shake habit,,
306,remarkable men around time still shake habit,,
307,remarkable men around time still shake habit,,
308,remarkable men around time still shake habit,,
309,remarkable men around time still shake habit,,
310,watch incredible spoken word poem little girl facing borders anyone cross,She paints a picture of a little girl.,
311,left parents thought grow without fear wrong,She paints a picture of a little girl.,
312,story starts baby ends every step heartbreaking,She paints a picture of a little girl.,
313,classmates know makes different know make hurt,She paints a picture of a little girl.,
314,meets guidance counselor devastating reality hits face,She paints a picture of a little girl.,
315,meet girl left deal decades built hostility prejudice,She paints a picture of a little girl.,
316,jon stewart takes terrorist attack charlie hedbo,"""Our goal tonight is not to make sense of this, because there is no sense to made of this.""",
317,things people make short bus jokes probably,,
318,things people make short bus jokes probably,,
319,jon stewart takes terrorist attack charlie hedbo,"""Our goal tonight is not to make sense of this, because there is no sense to made of this.""",
320,jon stewart says needs said terrorists attacked charlie hedbo,"""Our goal tonight is not to make sense of this, because there is no sense to made of this.""",
321,hard facts guy issue known morning wood, Let's not make this awkward.,
322,usually stand yearly recap videos one see kleenex worthy,Things that matter. Pass em' on.,"Even if you don't remember every moment, you're bound to feel something. "
323,beautiful moving kleenex worthy usually hate yearly recap videos one different,Things that matter. Pass em' on.,"Even if you don't remember every moment, you're bound to feel something. "
324,game thrones star opens goes online heart hurts,Stories that matter. Pass them on and on. ,"When she's on TV, she's untouchable, but what happens to her online is sadly predictable."
325,hard facts guy issue known morning wood, Let's not make this awkward.,Your doctor would call it nocturnal penile tumescence. You probably know it by a few different names.
326,game thrones star opens goes online heart hurts,Stories that matter. Pass them on and on. ,"When she's on TV, she's untouchable, but what happens to her online is sadly predictable."
327,school turned everything upside results got eyes wet,,
328,ferguson need movie like selma guess behind,Voices that matter. Pass them on and on. ,
329,dudes chicks said answer questions got ton,Cue the people who think they know him better than he knows himself.,There is absolutely nothing wrong with having a type. However...
330,happens try kill survive,,"David Phillips, a researcher who studies suicide said, ""Think of a suicide story as a kind of commercial. If you make the product attractive, people will want it."" 

This is how unattractive suicide attempts can be."
331,happens non dog person meets pit bull first time hint violent,Oh yes. So agressive. /sarcasm,They heard tons of scary stories about pit bulls — then they met some for the first time.
